term,tau,estimate,std.error,p.value,cohort_id,week,condition,module,indicator,lo,hi
z_cum_div,0.5,3.344365763182494,1.6995967800234784,0.05014852570680284,STAT0002_2223,6,in_person,STAT0002,Diversity,0.013156074336476475,6.675575452028511
z_cum_freq,0.75,1.0159386701686808,1.3830783918321363,0.4632687006052434,STAT0002_2223,6,in_person,STAT0002,Frequency,-1.6948949778223064,3.726772318159668
z_cum_imm,0.75,-0.507239800100787,1.8408362977647588,0.7831111904975341,STAT0002_2223,6,in_person,STAT0002,Immediacy,-4.115278943719714,3.1007993435181405
z_cum_div,0.75,3.218200504511962,1.7633962131371588,0.06913507767140215,STAT0002_2223,6,in_person,STAT0002,Diversity,-0.23805607323686928,6.674457082260793
z_cum_freq,0.9,2.017494814769774,1.8998570544021651,0.289246475974152,STAT0002_2223,6,in_person,STAT0002,Frequency,-1.7062250118584696,5.741214641398018
z_cum_imm,0.9,-1.8357011703192778,1.339552761813715,0.17173572712536922,STAT0002_2223,6,in_person,STAT0002,Immediacy,-4.461224583474159,0.7898222428356039
z_cum_div,0.9,2.7347034854933896,1.5918633536352447,0.08698710140077948,STAT0002_2223,6,in_person,STAT0002,Diversity,-0.38534868763168983,5.854755658618469
z_cum_freq,0.1,1.4702187725710238,3.5978567756087583,0.683138322336944,STAT0002_2223,11,in_person,STAT0002,Frequency,-5.581580507622142,8.52201805276419
z_cum_imm,0.1,2.8173362806630067,2.8969157585234973,0.3316807518597602,STAT0002_2223,11,in_person,STAT0002,Immediacy,-2.8606186060430474,8.49529116736906
z_cum_div,0.1,4.105559774954506,2.9592648093993397,0.1665070888732032,STAT0002_2223,11,in_person,STAT0002,Diversity,-1.6945992514681993,9.905718801377212
z_cum_freq,0.25,2.1988636578773635,1.3231478972881257,0.09773575389618117,STAT0002_2223,11,in_person,STAT0002,Frequency,-0.39450622080736286,4.79223353656209
z_cum_imm,0.25,4.49671124240893,1.8775204630485773,0.01731920881077542,STAT0002_2223,11,in_person,STAT0002,Immediacy,0.8167711348337181,8.176651349984141
z_cum_div,0.25,0.9639996476227096,1.7334030763894048,0.5785939522209835,STAT0002_2223,11,in_person,STAT0002,Diversity,-2.433470382100524,4.361469677345943
z_cum_freq,0.5,0.5891142592371835,1.1597286580723762,0.6118959801380275,STAT0002_2223,11,in_person,STAT0002,Frequency,-1.6839539105846737,2.862182429059041
z_cum_imm,0.5,2.647300722556105,1.5625345947627143,0.0914044374314944,STAT0002_2223,11,in_person,STAT0002,Immediacy,-0.41526708317881456,5.709868528291025
z_cum_div,0.5,2.323716878994094,1.6833923653663643,0.16864255764558234,STAT0002_2223,11,in_person,STAT0002,Diversity,-0.9757321571239799,5.623165915112168
