cohort_id,week,p,rho,indicator,p_BH
STAT0004_2122,5,0.003040320541531237,0.2247160008008877,Diversity,0.004371702739456681
STAT0004_2122,6,0.004888723084609483,0.21366085655796496,Diversity,0.006680242724311094
STAT0004_2122,7,0.0022211412694596302,0.23174884136246537,Diversity,0.0034171404145532775
STAT0004_2122,8,0.0017737590011783022,0.23666381109094559,Diversity,0.0028277317410088875
STAT0004_2122,9,0.0029696414158134656,0.22525018537070574,Diversity,0.004326629877344122
STAT0004_2122,10,0.0013389949698194858,0.24267191348216596,Diversity,0.002216364184081797
STAT0004_2122,11,0.0030230370715365403,0.22484558192636592,Diversity,0.004371702739456681
STAT0004_2223,1,0.13819104568407356,0.10600485906747525,Diversity,0.14075013912266754
STAT0004_2223,2,0.016256459064218416,0.17103910890119872,Diversity,0.019332005373665143
STAT0004_2223,3,4.3554223993569883e-4,0.2482602468600955,Diversity,7.624778654381027e-4
STAT0004_2223,4,0.001499747254436651,0.22472030925021175,Diversity,0.0024440325627856536
STAT0004_2223,5,0.001984227907581687,0.21904918872047177,Diversity,0.0031224277650088914
STAT0004_2223,6,0.006194700358582236,0.19439715897238688,Diversity,0.008070462027688997
STAT0004_2223,7,0.00556403421536801,0.19684344774780885,Diversity,0.007418712287157346
STAT0004_2223,8,0.008490125877321227,0.18704965960905645,Diversity,0.010552698830568757
STAT0004_2223,9,0.007884313177539432,0.1887982420253671,Diversity,0.009968671833670546
STAT0004_2223,10,0.0051209719692317055,0.1987152471476746,Diversity,0.006954406377968983
STAT0004_2223,11,0.0024099215261689498,0.21502776309157787,Diversity,0.0036313886010764995
STAT0002_2021,1,7.592906196356308e-4,0.18123207487500556,IDF,0.0013050307524987404
STAT0002_2021,2,5.1996506645342814e-5,0.2169897419987027,IDF,1.0399301329068563e-4
STAT0002_2021,3,8.004911220836335e-7,0.2631141393063662,IDF,2.3798384710594507e-6
STAT0002_2021,4,1.695839065787302e-8,0.2990872513085028,IDF,9.81801564403175e-8
STAT0002_2021,5,2.6106242074741094e-7,0.27410990259215395,IDF,9.572288760738402e-7
STAT0002_2021,6,2.3478746096812462e-7,0.2751261260941553,IDF,9.293799389443362e-7
STAT0002_2021,7,3.8209722301546396e-7,0.2704262986420213,IDF,1.293252139436955e-6
STAT0002_2021,8,7.579345241289099e-7,0.2636617750267805,IDF,2.2841862371008245e-6
STAT0002_2021,9,8.668841964833187e-7,0.2623131601918736,IDF,2.542860309684401e-6
STAT0002_2021,10,4.2291888461680723e-7,0.2694354244790367,IDF,1.388688874861158e-6
STAT0002_2021,11,2.1777985699509168e-7,0.27584400737542153,IDF,9.025897239364693e-7
STAT0002_2223,1,5.581403847657528e-5,0.2440286796471754,IDF,1.0866449968890762e-4
STAT0002_2223,2,1.1452065201502215e-7,0.3175327296418066,IDF,5.360541158149972e-7
STAT0002_2223,3,3.955947606983177e-8,0.32832989026470194,IDF,2.0239731942704627e-7
STAT0002_2223,4,2.0346915076945256e-7,0.3115125213743754,IDF,8.777100621427364e-7
STAT0002_2223,5,9.679775139411673e-9,0.342013901202454,IDF,6.263383913736965e-8
STAT0002_2223,6,4.776540106864882e-9,0.34863745425069287,IDF,3.891995642630645e-8
STAT0002_2223,7,1.4411619991667843e-9,0.3595345418827397,IDF,1.5852781990834627e-8
STAT0002_2223,8,8.285976585822352e-11,0.38396716846102324,IDF,1.5334504059828632e-9
STAT0002_2223,9,8.975341370373518e-12,0.4016722170288598,IDF,3.2909585024702896e-10
STAT0002_2223,10,1.1119409268816096e-11,0.40001096990511054,IDF,3.494671484485059e-10
STAT0002_2223,11,3.329780202200601e-12,0.40924428859614254,IDF,1.8313791112103306e-10
STAT0004_2021,1,1.099538965984921e-4,0.21720660364478814,IDF,2.0675091668092532e-4
STAT0004_2021,2,2.993394609203651e-5,0.23395585130001897,IDF,6.271874419283841e-5
STAT0004_2021,3,6.518999400182146e-6,0.2521375850735224,IDF,1.611438053977609e-5
STAT0004_2021,4,1.471154495787266e-6,0.2686526944909581,IDF,4.149410116323059e-6
STAT0004_2021,5,2.4204803201750185e-7,0.28730659898648653,IDF,9.342204744535159e-7
STAT0004_2021,6,3.362893704348261e-7,0.2840079234443736,IDF,1.1559947108697147e-6
STAT0004_2021,7,9.850753840066939e-7,0.2729192212327362,IDF,2.8145010971619823e-6
STAT0004_2021,8,2.8262798952681846e-6,0.26154642634399766,IDF,7.230018336732566e-6
STAT0004_2021,9,1.908160904135727e-6,0.2658463408899691,IDF,5.247442486373249e-6
STAT0004_2021,10,2.1438385329208488e-7,0.28851349896173756,IDF,9.025897239364693e-7
STAT0004_2021,11,8.307786001713384e-8,0.29775243779667243,IDF,4.0615842675043216e-7
STAT0004_2122,1,9.739630301515234e-4,0.24930113047702346,IDF,0.0016610222219638382
STAT0004_2122,2,0.0017683632006870453,0.23672970757880893,IDF,0.0028277317410088875
STAT0004_2122,3,0.01788728224346366,0.18038565044451851,IDF,0.020821175098211665
STAT0004_2122,4,0.0064083755522145215,0.2071160890523353,IDF,0.008293191891101146
STAT0004_2122,5,0.0026891154024204786,0.22749056047750998,IDF,0.003944035923550035
STAT0004_2122,6,0.008796355487293886,0.19920945455147898,IDF,0.01081116316874109
STAT0004_2122,7,0.004534886958763175,0.21544488241244697,IDF,0.0063143995628348005
STAT0004_2122,8,0.002515881681924267,0.2289822670611913,IDF,0.0037652651021995833
STAT0004_2122,9,0.005190115915188365,0.21223034316571546,IDF,0.0070050644254076085
STAT0004_2122,10,0.0022903360043434093,0.23107065627834514,IDF,0.0034991244510802085
STAT0004_2122,11,0.002198480767900638,0.2319751139460792,IDF,0.0034060969643531012
STAT0004_2223,1,0.1661909841241634,0.09903245908327052,IDF,0.16848855533325321
STAT0004_2223,2,0.018765224107695277,0.16732473956007307,IDF,0.021489569189838503
STAT0004_2223,3,0.002335155167190392,0.2156846587300213,IDF,0.003542994046771629
STAT0004_2223,4,0.01039745458061819,0.1821869052771621,IDF,0.01263779009798896
STAT0004_2223,5,0.014797819639202247,0.17343536015854458,IDF,0.017693045220785294
STAT0004_2223,6,0.025917354624733713,0.15870190517586977,IDF,0.027950088320791256
STAT0004_2223,7,0.018852212971085594,0.16720387704117184,IDF,0.021489569189838503
STAT0004_2223,8,0.023325385261365513,0.1615578708010737,IDF,0.025403884938120857
STAT0004_2223,9,0.01970150356924899,0.16604861971764887,IDF,0.02222733736017835
STAT0004_2223,10,0.020475889182014206,0.16503227580870708,IDF,0.022636661407251884
STAT0004_2223,11,0.006199582193997457,0.1943791080767068,IDF,0.008070462027688997
