term,tau,estimate,std.error,p.value,cohort_id,week,predictor,condition,module,indicator,lo,hi
z_cum_div,0.25,6.335337665462967,1.1238198707163076,4.415761623022263e-8,STAT0002_2223,6,z_cum_div,in_person,STAT0002,Diversity,4.132650718859004,8.53802461206693
z_cum_div,0.5,4.765996060616479,0.7883455224479571,5.037788186612602e-9,STAT0002_2223,6,z_cum_div,in_person,STAT0002,Diversity,3.2208388366184835,6.311153284614475
z_cum_div,0.75,3.492794093959975,0.919884521395028,1.816194652155545e-4,STAT0002_2223,6,z_cum_div,in_person,STAT0002,Diversity,1.6898204320257202,5.2957677558942295
z_cum_div,0.9,2.856831858139745,0.5794118083029345,1.448066937026482e-6,STAT0002_2223,6,z_cum_div,in_person,STAT0002,Diversity,1.7211847138659937,3.9924790024134964
z_cum_freq,0.1,6.1326310304149,1.456852241152336,3.508151081454969e-5,STAT0002_2223,11,z_cum_freq,in_person,STAT0002,Frequency,3.2772006377563216,8.988061423073479
z_cum_freq,0.25,6.123117890327017,0.9823814265629183,1.7943562191646834e-9,STAT0002_2223,11,z_cum_freq,in_person,STAT0002,Frequency,4.197650294263697,8.048585486390337
z_cum_freq,0.5,3.8805650752426724,0.6441034191288137,5.642136979844281e-9,STAT0002_2223,11,z_cum_freq,in_person,STAT0002,Frequency,2.6181223737501975,5.143007776735147
z_cum_freq,0.75,3.868168008809687,1.1117876169920493,5.87713115374422e-4,STAT0002_2223,11,z_cum_freq,in_person,STAT0002,Frequency,1.6890642795052706,6.0472717381141035
z_cum_freq,0.9,3.1553601899224333,0.7511284638913166,3.6366519760910876e-5,STAT0002_2223,11,z_cum_freq,in_person,STAT0002,Frequency,1.6831484006954527,4.627571979149414
z_cum_imm,0.1,6.966534226427993,1.7420931662257084,8.257092508445751e-5,STAT0002_2223,11,z_cum_imm,in_person,STAT0002,Immediacy,3.5520316206256046,10.381036832230382
